x y f(x,y)
0.00000 0.00000 1.00000
0.33069 0.00000 1.32470
0.66139 0.00000 1.61421
0.99208 0.00000 1.83717
1.32278 0.00000 1.96940
1.65347 0.00000 1.99658
1.98416 0.00000 1.91577
2.31486 0.00000 1.73572
2.64555 0.00000 1.47595
2.97625 0.00000 1.16459
3.30694 0.00000 0.83541
3.63763 0.00000 0.52405
3.96833 0.00000 0.26428
4.29902 0.00000 0.08423
4.62972 0.00000 0.00342
4.96041 0.00000 0.03060
5.29110 0.00000 0.16283
5.62180 0.00000 0.38579
5.95249 0.00000 0.67530
6.28319 0.00000 1.00000
0.00000 0.33069 0.94582
0.33069 0.33069 1.27052
0.66139 0.33069 1.56003
0.99208 0.33069 1.78298
1.32278 0.33069 1.91522
1.65347 0.33069 1.94240
1.98416 0.33069 1.86159
2.31486 0.33069 1.68154
2.64555 0.33069 1.42176
2.97625 0.33069 1.11041
3.30694 0.33069 0.78122
3.63763 0.33069 0.46987
3.96833 0.33069 0.21009
4.29902 0.33069 0.03004
4.62972 0.33069 -0.05077
4.96041 0.33069 -0.02358
5.29110 0.33069 0.10865
5.62180 0.33069 0.33160
5.95249 0.33069 0.62112
6.28319 0.33069 0.94582
0.00000 0.66139 0.78914
0.33069 0.66139 1.11384
0.66139 0.66139 1.40335
0.99208 0.66139 1.62631
1.32278 0.66139 1.75854
1.65347 0.66139 1.78573
1.98416 0.66139 1.70491
2.31486 0.66139 1.52486
2.64555 0.66139 1.26509
2.97625 0.66139 0.95374
3.30694 0.66139 0.62455
3.63763 0.66139 0.31319
3.96833 0.66139 0.05342
4.29902 0.66139 -0.12663
4.62972 0.66139 -0.20744
4.96041 0.66139 -0.18026
5.29110 0.66139 -0.04803
5.62180 0.66139 0.17493
5.95249 0.66139 0.46444
6.28319 0.66139 0.78914
0.00000 0.99208 0.54695
0.33069 0.99208 0.87165
0.66139 0.99208 1.16116
0.99208 0.99208 1.38411
1.32278 0.99208 1.51635
1.65347 0.99208 1.54353
1.98416 0.99208 1.46272
2.31486 0.99208 1.28267
2.64555 0.99208 1.02290
2.97625 0.99208 0.71154
3.30694 0.99208 0.38235
3.63763 0.99208 0.07100
3.96833 0.99208 -0.18878
4.29902 0.99208 -0.36883
4.62972 0.99208 -0.44964
4.96041 0.99208 -0.42245
5.29110 0.99208 -0.29022
5.62180 0.99208 -0.06726
5.95249 0.99208 0.22225
6.28319 0.99208 0.54695
0.00000 1.32278 0.24549
0.33069 1.32278 0.57018
0.66139 1.32278 0.85970
0.99208 1.32278 1.08265
1.32278 1.32278 1.21489
1.65347 1.32278 1.24207
1.98416 1.32278 1.16126
2.31486 1.32278 0.98121
2.64555 1.32278 0.72143
2.97625 1.32278 0.41008
3.30694 1.32278 0.08089
3.63763 1.32278 -0.23046
3.96833 1.32278 -0.49024
4.29902 1.32278 -0.67029
4.62972 1.32278 -0.75110
4.96041 1.32278 -0.72391
5.29110 1.32278 -0.59168
5.62180 1.32278 -0.36873
5.95249 1.32278 -0.07921
6.28319 1.32278 0.24549
0.00000 1.65347 -0.08258
0.33069 1.65347 0.24212
0.66139 1.65347 0.53163
0.99208 1.65347 0.75459
1.32278 1.65347 0.88682
1.65347 1.65347 0.91401
1.98416 1.65347 0.83319
2.31486 1.65347 0.65314
2.64555 1.65347 0.39337
2.97625 1.65347 0.08202
3.30694 1.65347 -0.24717
3.63763 1.65347 -0.55853
3.96833 1.65347 -0.81830
4.29902 1.65347 -0.99835
4.62972 1.65347 -1.07916
4.96041 1.65347 -1.05198
5.29110 1.65347 -0.91975
5.62180 1.65347 -0.69679
5.95249 1.65347 -0.40728
6.28319 1.65347 -0.08258
0.00000 1.98416 -0.40170
0.33069 1.98416 -0.07700
0.66139 1.98416 0.21252
0.99208 1.98416 0.43547
1.32278 1.98416 0.56770
1.65347 1.98416 0.59489
1.98416 1.98416 0.51408
2.31486 1.98416 0.33403
2.64555 1.98416 0.07425
2.97625 1.98416 -0.23710
3.30694 1.98416 -0.56629
3.63763 1.98416 -0.87764
3.96833 1.98416 -1.13742
4.29902 1.98416 -1.31747
4.62972 1.98416 -1.39828
4.96041 1.98416 -1.37110
5.29110 1.98416 -1.23886
5.62180 1.98416 -1.01591
5.95249 1.98416 -0.72639
6.28319 1.98416 -0.40170
0.00000 2.31486 -0.67728
0.33069 2.31486 -0.35258
0.66139 2.31486 -0.06307
0.99208 2.31486 0.15988
1.32278 2.31486 0.29212
1.65347 2.31486 0.31930
1.98416 2.31486 0.23849
2.31486 2.31486 0.05844
2.64555 2.31486 -0.20133
2.97625 2.31486 -0.51269
3.30694 2.31486 -0.84188
3.63763 2.31486 -1.15323
3.96833 2.31486 -1.41301
4.29902 2.31486 -1.59305
4.62972 2.31486 -1.67387
4.96041 2.31486 -1.64668
5.29110 2.31486 -1.51445
5.62180 2.31486 -1.29149
5.95249 2.31486 -1.00198
6.28319 2.31486 -0.67728
0.00000 2.64555 -0.87947
0.33069 2.64555 -0.55477
0.66139 2.64555 -0.26526
0.99208 2.64555 -0.04231
1.32278 2.64555 0.08993
1.65347 2.64555 0.11711
1.98416 2.64555 0.03630
2.31486 2.64555 -0.14375
2.64555 2.64555 -0.40353
2.97625 2.64555 -0.71488
3.30694 2.64555 -1.04407
3.63763 2.64555 -1.35542
3.96833 2.64555 -1.61520
4.29902 2.64555 -1.79525
4.62972 2.64555 -1.87606
4.96041 2.64555 -1.84887
5.29110 2.64555 -1.71664
5.62180 2.64555 -1.49369
5.95249 2.64555 -1.20417
6.28319 2.64555 -0.87947
0.00000 2.97625 -0.98636
0.33069 2.97625 -0.66166
0.66139 2.97625 -0.37215
0.99208 2.97625 -0.14919
1.32278 2.97625 -0.01696
1.65347 2.97625 0.01022
1.98416 2.97625 -0.07059
2.31486 2.97625 -0.25064
2.64555 2.97625 -0.51041
2.97625 2.97625 -0.82177
3.30694 2.97625 -1.15096
3.63763 2.97625 -1.46231
3.96833 2.97625 -1.72209
4.29902 2.97625 -1.90213
4.62972 2.97625 -1.98295
4.96041 2.97625 -1.95576
5.29110 2.97625 -1.82353
5.62180 2.97625 -1.60057
5.95249 2.97625 -1.31106
6.28319 2.97625 -0.98636
0.00000 3.30694 -0.98636
0.33069 3.30694 -0.66166
0.66139 3.30694 -0.37215
0.99208 3.30694 -0.14919
1.32278 3.30694 -0.01696
1.65347 3.30694 0.01022
1.98416 3.30694 -0.07059
2.31486 3.30694 -0.25064
2.64555 3.30694 -0.51041
2.97625 3.30694 -0.82177
3.30694 3.30694 -1.15096
3.63763 3.30694 -1.46231
3.96833 3.30694 -1.72209
4.29902 3.30694 -1.90213
4.62972 3.30694 -1.98295
4.96041 3.30694 -1.95576
5.29110 3.30694 -1.82353
5.62180 3.30694 -1.60057
5.95249 3.30694 -1.31106
6.28319 3.30694 -0.98636
0.00000 3.63763 -0.87947
0.33069 3.63763 -0.55477
0.66139 3.63763 -0.26526
0.99208 3.63763 -0.04231
1.32278 3.63763 0.08993
1.65347 3.63763 0.11711
1.98416 3.63763 0.03630
2.31486 3.63763 -0.14375
2.64555 3.63763 -0.40353
2.97625 3.63763 -0.71488
3.30694 3.63763 -1.04407
3.63763 3.63763 -1.35542
3.96833 3.63763 -1.61520
4.29902 3.63763 -1.79525
4.62972 3.63763 -1.87606
4.96041 3.63763 -1.84887
5.29110 3.63763 -1.71664
5.62180 3.63763 -1.49369
5.95249 3.63763 -1.20417
